Date,City,Year of Occurrence,Month of Occurrence,Crime_Count,MA3,Delta,Trend_Slope
2020-01-01,Agra,2020,1,11,,,-0.0011544011544012667
2020-02-01,Agra,2020,2,7,,-4.0,-0.0011544011544012667
2020-03-01,Agra,2020,3,19,12.333333333333334,12.0,-0.0011544011544012667
2020-04-01,Agra,2020,4,9,11.666666666666666,-10.0,-0.0011544011544012667
2020-05-01,Agra,2020,5,20,16.0,11.0,-0.0011544011544012667
2020-06-01,Agra,2020,6,12,13.666666666666666,-8.0,-0.0011544011544012667
2020-07-01,Agra,2020,7,14,15.333333333333334,2.0,-0.0011544011544012667
2020-08-01,Agra,2020,8,23,16.333333333333332,9.0,-0.0011544011544012667
2020-09-01,Agra,2020,9,14,17.0,-9.0,-0.0011544011544012667
2020-10-01,Agra,2020,10,16,17.666666666666668,2.0,-0.0011544011544012667
2020-11-01,Agra,2020,11,21,17.0,5.0,-0.0011544011544012667
2020-12-01,Agra,2020,12,12,16.333333333333332,-9.0,-0.0011544011544012667
2021-01-01,Agra,2021,1,8,13.666666666666666,-4.0,-0.0011544011544012667
2021-02-01,Agra,2021,2,15,11.666666666666666,7.0,-0.0011544011544012667
2021-03-01,Agra,2021,3,9,10.666666666666666,-6.0,-0.0011544011544012667
2021-04-01,Agra,2021,4,22,15.333333333333334,13.0,-0.0011544011544012667
2021-05-01,Agra,2021,5,19,16.666666666666668,-3.0,-0.0011544011544012667
2021-06-01,Agra,2021,6,12,17.666666666666668,-7.0,-0.0011544011544012667
2021-07-01,Agra,2021,7,9,13.333333333333334,-3.0,-0.0011544011544012667
2021-08-01,Agra,2021,8,9,10.0,0.0,-0.0011544011544012667
2021-09-01,Agra,2021,9,11,9.666666666666666,2.0,-0.0011544011544012667
2021-10-01,Agra,2021,10,15,11.666666666666666,4.0,-0.0011544011544012667
2021-11-01,Agra,2021,11,15,13.666666666666666,0.0,-0.0011544011544012667
2021-12-01,Agra,2021,12,11,13.666666666666666,-4.0,-0.0011544011544012667
2022-01-01,Agra,2022,1,12,12.666666666666666,1.0,-0.0011544011544012667
2022-02-01,Agra,2022,2,14,12.333333333333334,2.0,-0.0011544011544012667
2022-03-01,Agra,2022,3,14,13.333333333333334,0.0,-0.0011544011544012667
2022-04-01,Agra,2022,4,14,14.0,0.0,-0.0011544011544012667
2022-05-01,Agra,2022,5,17,15.0,3.0,-0.0011544011544012667
2022-06-01,Agra,2022,6,11,14.0,-6.0,-0.0011544011544012667
2022-07-01,Agra,2022,7,17,15.0,6.0,-0.0011544011544012667
2022-08-01,Agra,2022,8,14,14.0,-3.0,-0.0011544011544012667
2022-09-01,Agra,2022,9,13,14.666666666666666,-1.0,-0.0011544011544012667
2022-10-01,Agra,2022,10,11,12.666666666666666,-2.0,-0.0011544011544012667
2022-11-01,Agra,2022,11,13,12.333333333333334,2.0,-0.0011544011544012667
2022-12-01,Agra,2022,12,16,13.333333333333334,3.0,-0.0011544011544012667
2023-01-01,Agra,2023,1,15,14.666666666666666,-1.0,-0.0011544011544012667
2023-02-01,Agra,2023,2,17,16.0,2.0,-0.0011544011544012667
2023-03-01,Agra,2023,3,10,14.0,-7.0,-0.0011544011544012667
2023-04-01,Agra,2023,4,9,12.0,-1.0,-0.0011544011544012667
2023-05-01,Agra,2023,5,14,11.0,5.0,-0.0011544011544012667
2023-06-01,Agra,2023,6,14,12.333333333333334,0.0,-0.0011544011544012667
2023-07-01,Agra,2023,7,16,14.666666666666666,2.0,-0.0011544011544012667
2023-08-01,Agra,2023,8,21,17.0,5.0,-0.0011544011544012667
2023-09-01,Agra,2023,9,14,17.0,-7.0,-0.0011544011544012667
2023-10-01,Agra,2023,10,13,16.0,-1.0,-0.0011544011544012667
2023-11-01,Agra,2023,11,14,13.666666666666666,1.0,-0.0011544011544012667
2023-12-01,Agra,2023,12,5,10.666666666666666,-9.0,-0.0011544011544012667
2024-01-01,Agra,2024,1,12,10.333333333333334,7.0,-0.0011544011544012667
2024-02-01,Agra,2024,2,18,11.666666666666666,6.0,-0.0011544011544012667
2024-03-01,Agra,2024,3,14,14.666666666666666,-4.0,-0.0011544011544012667
2024-04-01,Agra,2024,4,14,15.333333333333334,0.0,-0.0011544011544012667
2024-05-01,Agra,2024,5,13,13.666666666666666,-1.0,-0.0011544011544012667
2024-06-01,Agra,2024,6,14,13.666666666666666,1.0,-0.0011544011544012667
2024-07-01,Agra,2024,7,18,15.0,4.0,-0.0011544011544012667
2020-01-01,Ahmedabad,2020,1,34,,,-0.06226551226551261
2020-02-01,Ahmedabad,2020,2,33,,-1.0,-0.06226551226551261
2020-03-01,Ahmedabad,2020,3,35,34.0,2.0,-0.06226551226551261
2020-04-01,Ahmedabad,2020,4,26,31.333333333333332,-9.0,-0.06226551226551261
2020-05-01,Ahmedabad,2020,5,39,33.333333333333336,13.0,-0.06226551226551261
2020-06-01,Ahmedabad,2020,6,40,35.0,1.0,-0.06226551226551261
2020-07-01,Ahmedabad,2020,7,34,37.666666666666664,-6.0,-0.06226551226551261
2020-08-01,Ahmedabad,2020,8,40,38.0,6.0,-0.06226551226551261
2020-09-01,Ahmedabad,2020,9,36,36.666666666666664,-4.0,-0.06226551226551261
2020-10-01,Ahmedabad,2020,10,30,35.333333333333336,-6.0,-0.06226551226551261
2020-11-01,Ahmedabad,2020,11,32,32.666666666666664,2.0,-0.06226551226551261
2020-12-01,Ahmedabad,2020,12,32,31.333333333333332,0.0,-0.06226551226551261
2021-01-01,Ahmedabad,2021,1,33,32.333333333333336,1.0,-0.06226551226551261
2021-02-01,Ahmedabad,2021,2,37,34.0,4.0,-0.06226551226551261
2021-03-01,Ahmedabad,2021,3,37,35.666666666666664,0.0,-0.06226551226551261
2021-04-01,Ahmedabad,2021,4,25,33.0,-12.0,-0.06226551226551261
2021-05-01,Ahmedabad,2021,5,36,32.666666666666664,11.0,-0.06226551226551261
2021-06-01,Ahmedabad,2021,6,28,29.666666666666668,-8.0,-0.06226551226551261
2021-07-01,Ahmedabad,2021,7,33,32.333333333333336,5.0,-0.06226551226551261
2021-08-01,Ahmedabad,2021,8,40,33.666666666666664,7.0,-0.06226551226551261
2021-09-01,Ahmedabad,2021,9,35,36.0,-5.0,-0.06226551226551261
2021-10-01,Ahmedabad,2021,10,39,38.0,4.0,-0.06226551226551261
2021-11-01,Ahmedabad,2021,11,36,36.666666666666664,-3.0,-0.06226551226551261
2021-12-01,Ahmedabad,2021,12,43,39.333333333333336,7.0,-0.06226551226551261
2022-01-01,Ahmedabad,2022,1,27,35.333333333333336,-16.0,-0.06226551226551261
2022-02-01,Ahmedabad,2022,2,25,31.666666666666668,-2.0,-0.06226551226551261
2022-03-01,Ahmedabad,2022,3,41,31.0,16.0,-0.06226551226551261
2022-04-01,Ahmedabad,2022,4,30,32.0,-11.0,-0.06226551226551261
2022-05-01,Ahmedabad,2022,5,22,31.0,-8.0,-0.06226551226551261
2022-06-01,Ahmedabad,2022,6,35,29.0,13.0,-0.06226551226551261
2022-07-01,Ahmedabad,2022,7,24,27.0,-11.0,-0.06226551226551261
2022-08-01,Ahmedabad,2022,8,26,28.333333333333332,2.0,-0.06226551226551261
2022-09-01,Ahmedabad,2022,9,34,28.0,8.0,-0.06226551226551261
2022-10-01,Ahmedabad,2022,10,38,32.666666666666664,4.0,-0.06226551226551261
2022-11-01,Ahmedabad,2022,11,24,32.0,-14.0,-0.06226551226551261
2022-12-01,Ahmedabad,2022,12,39,33.666666666666664,15.0,-0.06226551226551261
2023-01-01,Ahmedabad,2023,1,37,33.333333333333336,-2.0,-0.06226551226551261
2023-02-01,Ahmedabad,2023,2,29,35.0,-8.0,-0.06226551226551261
2023-03-01,Ahmedabad,2023,3,43,36.333333333333336,14.0,-0.06226551226551261
2023-04-01,Ahmedabad,2023,4,37,36.333333333333336,-6.0,-0.06226551226551261
2023-05-01,Ahmedabad,2023,5,32,37.333333333333336,-5.0,-0.06226551226551261
2023-06-01,Ahmedabad,2023,6,41,36.666666666666664,9.0,-0.06226551226551261
2023-07-01,Ahmedabad,2023,7,30,34.333333333333336,-11.0,-0.06226551226551261
2023-08-01,Ahmedabad,2023,8,27,32.666666666666664,-3.0,-0.06226551226551261
2023-09-01,Ahmedabad,2023,9,38,31.666666666666668,11.0,-0.06226551226551261
2023-10-01,Ahmedabad,2023,10,28,31.0,-10.0,-0.06226551226551261
2023-11-01,Ahmedabad,2023,11,32,32.666666666666664,4.0,-0.06226551226551261
2023-12-01,Ahmedabad,2023,12,28,29.333333333333332,-4.0,-0.06226551226551261
2024-01-01,Ahmedabad,2024,1,36,32.0,8.0,-0.06226551226551261
2024-02-01,Ahmedabad,2024,2,31,31.666666666666668,-5.0,-0.06226551226551261
2024-03-01,Ahmedabad,2024,3,24,30.333333333333332,-7.0,-0.06226551226551261
2024-04-01,Ahmedabad,2024,4,31,28.666666666666668,7.0,-0.06226551226551261
2024-05-01,Ahmedabad,2024,5,31,28.666666666666668,0.0,-0.06226551226551261
2024-06-01,Ahmedabad,2024,6,40,34.0,9.0,-0.06226551226551261
2024-07-01,Ahmedabad,2024,7,24,31.666666666666668,-16.0,-0.06226551226551261
2020-01-01,Bangalore,2020,1,63,,,0.013924963924963039
2020-02-01,Bangalore,2020,2,59,,-4.0,0.013924963924963039
2020-03-01,Bangalore,2020,3,68,63.333333333333336,9.0,0.013924963924963039
2020-04-01,Bangalore,2020,4,53,60.0,-15.0,0.013924963924963039
2020-05-01,Bangalore,2020,5,67,62.666666666666664,14.0,0.013924963924963039
2020-06-01,Bangalore,2020,6,80,66.66666666666667,13.0,0.013924963924963039
2020-07-01,Bangalore,2020,7,73,73.33333333333333,-7.0,0.013924963924963039
2020-08-01,Bangalore,2020,8,60,71.0,-13.0,0.013924963924963039
2020-09-01,Bangalore,2020,9,62,65.0,2.0,0.013924963924963039
2020-10-01,Bangalore,2020,10,66,62.666666666666664,4.0,0.013924963924963039
2020-11-01,Bangalore,2020,11,68,65.33333333333333,2.0,0.013924963924963039
2020-12-01,Bangalore,2020,12,56,63.333333333333336,-12.0,0.013924963924963039
2021-01-01,Bangalore,2021,1,61,61.666666666666664,5.0,0.013924963924963039
2021-02-01,Bangalore,2021,2,71,62.666666666666664,10.0,0.013924963924963039
2021-03-01,Bangalore,2021,3,67,66.33333333333333,-4.0,0.013924963924963039
2021-04-01,Bangalore,2021,4,58,65.33333333333333,-9.0,0.013924963924963039
2021-05-01,Bangalore,2021,5,60,61.666666666666664,2.0,0.013924963924963039
2021-06-01,Bangalore,2021,6,73,63.666666666666664,13.0,0.013924963924963039
2021-07-01,Bangalore,2021,7,66,66.33333333333333,-7.0,0.013924963924963039
2021-08-01,Bangalore,2021,8,65,68.0,-1.0,0.013924963924963039
2021-09-01,Bangalore,2021,9,58,63.0,-7.0,0.013924963924963039
2021-10-01,Bangalore,2021,10,71,64.66666666666667,13.0,0.013924963924963039
2021-11-01,Bangalore,2021,11,79,69.33333333333333,8.0,0.013924963924963039
2021-12-01,Bangalore,2021,12,61,70.33333333333333,-18.0,0.013924963924963039
2022-01-01,Bangalore,2022,1,59,66.33333333333333,-2.0,0.013924963924963039
2022-02-01,Bangalore,2022,2,60,60.0,1.0,0.013924963924963039
2022-03-01,Bangalore,2022,3,75,64.66666666666667,15.0,0.013924963924963039
2022-04-01,Bangalore,2022,4,81,72.0,6.0,0.013924963924963039
2022-05-01,Bangalore,2022,5,60,72.0,-21.0,0.013924963924963039
2022-06-01,Bangalore,2022,6,59,66.66666666666667,-1.0,0.013924963924963039
2022-07-01,Bangalore,2022,7,62,60.333333333333336,3.0,0.013924963924963039
2022-08-01,Bangalore,2022,8,70,63.666666666666664,8.0,0.013924963924963039
2022-09-01,Bangalore,2022,9,56,62.666666666666664,-14.0,0.013924963924963039
2022-10-01,Bangalore,2022,10,61,62.333333333333336,5.0,0.013924963924963039
2022-11-01,Bangalore,2022,11,72,63.0,11.0,0.013924963924963039
2022-12-01,Bangalore,2022,12,74,69.0,2.0,0.013924963924963039
2023-01-01,Bangalore,2023,1,67,71.0,-7.0,0.013924963924963039
2023-02-01,Bangalore,2023,2,53,64.66666666666667,-14.0,0.013924963924963039
2023-03-01,Bangalore,2023,3,65,61.666666666666664,12.0,0.013924963924963039
2023-04-01,Bangalore,2023,4,62,60.0,-3.0,0.013924963924963039
2023-05-01,Bangalore,2023,5,57,61.333333333333336,-5.0,0.013924963924963039
