City,MAE,RMSE,MAPE
Surat,0.9755773299034571,1.3108187264247033,5.25208513869533
Nashik,1.045566453512661,1.2977474583823891,14.631270292594255
Srinagar,1.249127594338353,1.4002550034062353,23.11483119662752
Kalyan,1.3986643219988935,1.7292398097609625,35.4635170751758
Varanasi,1.493714120391649,1.781661620556326,26.084564693690165
Indore,1.6514491572189456,1.9993576557278858,13.476166948335559
Faridabad,1.7414272869987149,2.288713241447503,24.82822561036846
Agra,1.849291989059577,2.124862906715793,12.159965708031532
Rajkot,1.8559159007814474,2.6436105792809927,54.81080783279939
Kanpur,2.3202106153250956,2.7028254156543494,12.111784641238268
Vasai,2.4908043486366025,2.920599103036083,115.6698179133292
Ghaziabad,2.4910301850875713,2.8553159650543156,25.728028118452816
Nagpur,2.8190645804398486,3.520023258350092,19.440381161240804
Meerut,2.8633278934748985,3.471982941129886,45.12833751344294
Visakhapatnam,2.8820969870528814,3.3746072173467256,17.6939630021038
Ludhiana,2.9369470470006194,3.8438138174633147,25.39616260044776
Bhopal,3.0653755477449636,3.6502638293606084,24.17792564659711
Jaipur,3.4778655738314606,4.21540678300446,12.560050952970144
Ahmedabad,3.8428579301020727,4.3850132407180045,12.98082016439794
Chennai,3.8812061265454156,4.966428925677411,10.310191496149587
Lucknow,4.080341626028562,4.739186281270782,17.81735793209448
Thane,4.195378491112475,5.329354713644523,89.8982758909658
Patna,4.325076056319021,5.489739400413999,28.283953706508246
Delhi,4.751483832181336,7.09238056824079,4.48788451238055
Kolkata,4.837800627610498,6.394485636994282,10.401280833575436
Mumbai,5.2824807102696365,7.370963420294951,7.124990842833926
Hyderabad,5.4521400164029865,7.144928555905673,13.442392913781157
Bangalore,5.663906898734636,6.770719724559703,8.797969717239498
Pune,6.493766528381691,7.362968334494681,15.505618126798462
