Date,Forecast,City
2024-08-01,16.82970440099116,Agra
2024-09-01,18.886292989417985,Agra
2024-10-01,15.08581166056166,Agra
2024-11-01,13.892392013215545,Agra
2024-12-01,14.214514652014646,Agra
2025-01-01,12.848534362424067,Agra
2025-02-01,14.16534969540686,Agra
2025-03-01,14.370198501117612,Agra
2025-04-01,14.470172795012571,Agra
2025-05-01,15.165092471421694,Agra
2025-06-01,14.29080740599693,Agra
2025-07-01,14.651566049858511,Agra
2024-08-01,26.513574342324343,Ahmedabad
2024-09-01,27.888323500573495,Ahmedabad
2024-10-01,32.83343278018279,Ahmedabad
2024-11-01,31.30718184593185,Ahmedabad
2024-12-01,29.879660441410433,Ahmedabad
2025-01-01,28.46090382765382,Ahmedabad
2025-02-01,28.524777324527324,Ahmedabad
2025-03-01,29.91313326488327,Ahmedabad
2025-04-01,30.497157287157286,Ahmedabad
2025-05-01,29.3029993062493,Ahmedabad
2025-06-01,28.376439782439782,Ahmedabad
2025-07-01,28.75196238946239,Ahmedabad
2024-08-01,74.67253944203944,Bangalore
2024-09-01,72.00959675047172,Bangalore
2024-10-01,67.36317989417988,Bangalore
2024-11-01,68.46412698412699,Bangalore
2024-12-01,70.1161752044252,Bangalore
2025-01-01,71.26816666666667,Bangalore
2025-02-01,70.91043831168831,Bangalore
2025-03-01,69.88577165427164,Bangalore
2025-04-01,69.84759968734969,Bangalore
2025-05-01,69.64716197691199,Bangalore
2025-06-01,70.14741775816776,Bangalore
2025-07-01,69.22991715691714,Bangalore
2024-08-01,11.00730956080956,Bhopal
2024-09-01,11.819656249867553,Bhopal
2024-10-01,10.12288675213675,Bhopal
2024-11-01,8.943037504162506,Bhopal
2024-12-01,10.43345414770415,Bhopal
2025-01-01,8.59195418007918,Bhopal
2025-02-01,10.940012358012357,Bhopal
2025-03-01,8.999557354682354,Bhopal
2025-04-01,8.025219812594814,Bhopal
2025-05-01,11.268964729714732,Bhopal
2025-06-01,11.629488548488549,Bhopal
2025-07-01,9.997607892107892,Bhopal
2024-08-01,44.56808886483888,Chennai
2024-09-01,41.47429741962833,Chennai
2024-10-01,40.303205615735024,Chennai
2024-11-01,43.80624711399712,Chennai
2024-12-01,45.16230928330929,Chennai
2025-01-01,40.69145840678931,Chennai
2025-02-01,39.52700726316167,Chennai
2025-03-01,44.62739405964406,Chennai
2025-04-01,45.108634680134685,Chennai
2025-05-01,41.0053619939429,Chennai
2025-06-01,39.815960004864415,Chennai
2025-07-01,44.298177008177014,Chennai
2024-08-01,103.5867647338472,Delhi
2024-09-01,101.33135235102877,Delhi
2024-10-01,100.18891701115076,Delhi
2024-11-01,99.26604778315664,Delhi
2024-12-01,100.82939056281704,Delhi
2025-01-01,100.80121211626361,Delhi
2025-02-01,101.0529703348968,Delhi
2025-03-01,101.16803473346121,Delhi
2025-04-01,101.01253659271308,Delhi
2025-05-01,100.84569204836853,Delhi
2025-06-01,100.47917187409834,Delhi
2025-07-01,101.05195635813284,Delhi
2024-08-01,6.988080854330858,Faridabad
2024-09-01,7.392386852372788,Faridabad
2024-10-01,8.17206931031931,Faridabad
2024-11-01,8.137990295226228,Faridabad
2024-12-01,6.966499084249085,Faridabad
2025-01-01,7.447976597476597,Faridabad
2025-02-01,8.777763514263512,Faridabad
2025-03-01,9.003923567173565,Faridabad
2025-04-01,7.738300671550671,Faridabad
2025-05-01,7.620764957264958,Faridabad
2025-06-01,7.810991147741147,Faridabad
2025-07-01,8.035387973137974,Faridabad
2024-08-01,10.520977688977686,Ghaziabad
2024-09-01,9.876452260702258,Ghaziabad
2024-10-01,9.787175130425128,Ghaziabad
2024-11-01,9.474333333333329,Ghaziabad
2024-12-01,10.215681623931621,Ghaziabad
2025-01-01,10.214864163614163,Ghaziabad
2025-02-01,10.19343559218559,Ghaziabad
2025-03-01,9.961258343508343,Ghaziabad
2025-04-01,9.434376984126981,Ghaziabad
2025-05-01,9.451043650793649,Ghaziabad
2025-06-01,10.723099002849004,Ghaziabad
2025-07-01,10.777464082214083,Ghaziabad
2024-08-01,43.14170826401267,Hyderabad
2024-09-01,47.4452061901062,Hyderabad
2024-10-01,46.148163468938456,Hyderabad
2024-11-01,48.270822728197736,Hyderabad
2024-12-01,49.01673772402062,Hyderabad
2025-01-01,47.20847840251424,Hyderabad
2025-02-01,48.07702722506539,Hyderabad
2025-03-01,48.42423671119904,Hyderabad
2025-04-01,47.68996484689775,Hyderabad
2025-05-01,47.86553627546919,Hyderabad
2025-06-01,47.87336010904301,Hyderabad
2025-07-01,47.59914870933162,Hyderabad
2024-08-01,15.662894529613268,Indore
2024-09-01,15.46964991174403,Indore
2024-10-01,13.980227417027418,Indore
2024-11-01,13.988971864301275,Indore
2024-12-01,14.385808312997632,Indore
2025-01-01,14.704361555506763,Indore
2025-02-01,15.037822959462279,Indore
2025-03-01,14.717994697568232,Indore
2025-04-01,14.61181623659565,Indore
2025-05-01,14.481162711036244,Indore
2025-06-01,14.21072355759709,Indore
2025-07-01,14.68634835628768,Indore
2024-08-01,22.678382400932396,Jaipur
2024-09-01,22.520061134714382,Jaipur
2024-10-01,22.21002097672422,Jaipur
2024-11-01,23.39362423687424,Jaipur
2024-12-01,24.8501183126242,Jaipur
2025-01-01,25.79880794924029,Jaipur
2025-02-01,26.61500435523082,Jaipur
2025-03-01,25.620471216528564,Jaipur
2025-04-01,24.631851042355752,Jaipur
2025-05-01,24.484494694999412,Jaipur
2025-06-01,24.07415790216261,Jaipur
2025-07-01,23.783426018305725,Jaipur
2024-08-01,6.672306792005875,Kalyan
2024-09-01,5.164647342563113,Kalyan
2024-10-01,6.3580520550536,Kalyan
2024-11-01,6.362516176068789,Kalyan
2024-12-01,6.27011760193337,Kalyan
2025-01-01,6.570697527199598,Kalyan
2025-02-01,6.238141559457328,Kalyan
2025-03-01,6.131064756630526,Kalyan
2025-04-01,6.469686869167112,Kalyan
2025-05-01,6.474791875272118,Kalyan
2025-06-01,6.501130772486015,Kalyan
2025-07-01,6.2951756748546,Kalyan
2024-08-01,17.679196494338132,Kanpur
2024-09-01,20.3263245490463,Kanpur
2024-10-01,19.482555479293104,Kanpur
2024-11-01,19.825963872675043,Kanpur
2024-12-01,19.254500795389976,Kanpur
2025-01-01,19.41224498027,Kanpur
2025-02-01,20.07387891134008,Kanpur
2025-03-01,20.128853773623767,Kanpur
2025-04-01,19.613124973571047,Kanpur
2025-05-01,19.560114031740834,Kanpur
2025-06-01,19.646431075850835,Kanpur
2025-07-01,19.771749637019628,Kanpur
2024-08-01,48.44681364977245,Kolkata
2024-09-01,47.46142820465887,Kolkata
2024-10-01,46.86065787168237,Kolkata
2024-11-01,43.93682463315327,Kolkata
2024-12-01,46.26570429752674,Kolkata
2025-01-01,46.592654497338394,Kolkata
2025-02-01,45.80331434783648,Kolkata
2025-03-01,46.824899753744646,Kolkata
2025-04-01,48.63047722201602,Kolkata
2025-05-01,49.11243608994549,Kolkata
2025-06-01,48.14101002567995,Kolkata
2025-07-01,47.591097900983115,Kolkata
2024-08-01,24.514605238249022,Lucknow
2024-09-01,26.222633157073677,Lucknow
2024-10-01,26.45114530330952,Lucknow
2024-11-01,26.30150466128041,Lucknow
2024-12-01,26.634595257781136,Lucknow
2025-01-01,26.695501878674303,Lucknow
2025-02-01,26.481060614921418,Lucknow
2025-03-01,26.55456035592116,Lucknow
2025-04-01,26.677634694545503,Lucknow
2025-05-01,26.59942511708592,Lucknow
2025-06-01,26.592506939403037,Lucknow
2025-07-01,26.398424756335558,Lucknow
2024-08-01,18.970555333555335,Ludhiana
2024-09-01,17.120199855699852,Ludhiana
2024-10-01,16.528898064898065,Ludhiana
2024-11-01,16.48407543382543,Ludhiana
2024-12-01,16.396321465571464,Ludhiana
2025-01-01,16.011603109853105,Ludhiana
2025-02-01,15.914885161135158,Ludhiana
2025-03-01,16.12249813149813,Ludhiana
2025-04-01,15.634549718799715,Ludhiana
2025-05-01,16.23947432197432,Ludhiana
2025-06-01,15.499723359973359,Ludhiana
2025-07-01,16.266618585118593,Ludhiana
2024-08-01,5.266890034967401,Meerut
2024-09-01,6.376060094861566,Meerut
2024-10-01,7.411639376361512,Meerut
2024-11-01,7.854061766335372,Meerut
2024-12-01,7.589353878798568,Meerut
2025-01-01,6.899512271526204,Meerut
2025-02-01,6.258210864162135,Meerut
2025-03-01,5.914383351698754,Meerut
2025-04-01,6.765830672351954,Meerut
2025-05-01,7.243237190126121,Meerut
2025-06-01,7.0446977526257735,Meerut
2025-07-01,6.639254880138782,Meerut
2024-08-01,83.28152716819915,Mumbai
2024-09-01,85.73854472209072,Mumbai
2024-10-01,85.8285848405463,Mumbai
2024-11-01,85.06139808285953,Mumbai
2024-12-01,83.95821949653931,Mumbai
2025-01-01,83.7925100883005,Mumbai
2025-02-01,84.70109582663623,Mumbai
2025-03-01,83.0653496189483,Mumbai
2025-04-01,85.37770533749575,Mumbai
2025-05-01,86.1198600994005,Mumbai
2025-06-01,86.47008922212963,Mumbai
2025-07-01,86.09982959287001,Mumbai
2024-08-01,13.497796569074204,Nagpur
